PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
Adventure Bay,Franklin,39,195,20.0,Adventure Bay Hall,"Adventure Bay Rd, ADVENTURE BAY 7150",-43.345800,147.321000,Huon,Kingborough
Alonnah,Franklin,74,257,28.8,Bruny Island District School,"15 School Rd, ALONNAH 7150",-43.318070,147.244455,Huon,Kingborough
Barnes Bay,Franklin,37,130,28.5,Barnes Bay CWA Rooms,"678 Bruny Island Main Rd, NORTH BRUNY 7150",-43.112603,147.373414,Huon,Kingborough
Bellerive,Franklin,358,2024,17.7,Clarence Police & Community Youth Club Inc,"10 Scott St, BELLERIVE 7018",-42.876060,147.370955,Pembroke,Clarence City
Blackmans Bay,Franklin,629,3184,19.8,The Salvation Army Kingborough,"3 Opal Dr, BLACKMANS BAY 7052",-42.998735,147.318275,Nelson,Kingborough
Cambridge,Franklin,210,1390,15.1,Cambridge Primary School,"976 Cambridge Rd, CAMBRIDGE 7170",-42.836200,147.442000,Rumney,Clarence City
Clarence,Franklin,236,1603,14.7,Clarence High School,"25 Wentworth St, BELLERIVE 7018",-42.878400,147.389000,Pembroke,Clarence City
Clarendon Vale,Franklin,23,573,4.0,Clarendon Vale Primary School,"25 Mockridge Rd, CLARENDON VALE 7019",-42.887300,147.445000,Rumney,Clarence City
Cradoc,Franklin,107,458,23.4,Cradoc Park,"8243 Channel Hwy, CRADOC 7109",-43.106400,147.034000,Huon,Huon Valley
Cygnet,Franklin,515,1620,31.8,Carmel Hall,"25 Mary St, CYGNET 7112",-43.162624,147.076341,Huon,Huon Valley
Dover,Franklin,72,597,12.1,Dover District High School,"6940 Huon Hwy, DOVER 7117",-43.310500,147.013000,Huon,Huon Valley
Franklin,Franklin,127,514,24.7,Franklin Primary School,"10 New Rd, FRANKLIN 7113",-43.085654,147.012018,Huon,Huon Valley
Geeveston,Franklin,88,691,12.7,Geeveston Community Hall,"7 Brady St, GEEVESTON 7116",-43.163949,146.924432,Huon,Huon Valley
Geilston Bay,Franklin,221,1904,11.6,Lindisfarne North Primary School,"271 East Derwent Hwy, GEILSTON BAY 7015",-42.838300,147.349000,Pembroke,Clarence City
Glen Huon,Franklin,49,319,15.4,Glen Huon Primary School,"801 Glen Huon Rd, GLEN HUON 7109",-43.027800,146.962000,Huon,Huon Valley
Howden,Franklin,93,379,24.5,Howden Fire Station,"392 Howden Rd, HOWDEN 7054",-43.019128,147.291545,Huon,Kingborough
Howrah,Franklin,263,2487,10.6,"Howrah Scout Hall, Howrah Primary School","7 Howrah Rd, HOWRAH 7018",-42.881900,147.404000,Pembroke,Clarence City
Huonville,Franklin,206,1487,13.9,Salvation Army Hall,"31 Wilmot Rd, HUONVILLE 7109",-43.029067,147.046909,Huon,Huon Valley
Judbury,Franklin,55,249,22.1,Judbury Hall,"1273 Glen Huon Rd, JUDBURY 7109",-42.998200,146.928300,Huon,Huon Valley
Kettering,Franklin,188,573,32.8,Kettering Community Centre,"2963 Channel Hwy, KETTERING 7155",-43.125700,147.247000,Huon,Kingborough
