,PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
0,Blessington Upper,Bass,6,57,10.5,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-41.482430,147.504940,Windermere,Launceston City
1,Branxholm,Bass,13,180,7.2,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.736480,McIntyre,Dorset
2,Bridport,Bass,55,1077,5.1,Bridport Hall,"Main St, BRIDPORT 7262",-41.002600,147.395000,McIntyre,Dorset
3,Derby,Bass,28,105,26.7,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.149330,147.802360,McIntyre,Dorset
4,Dilston,Bass,96,675,14.2,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.336800,147.082000,Windermere,Launceston City
5,East Launceston,Bass,219,1242,17.6,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.441440,147.151372,Launceston,Launceston City
6,Five Ways,Bass,145,1130,12.8,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.459080,147.154020,Launceston,Launceston City
7,George Town,Bass,102,1705,6.0,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
8,George Town South,Bass,33,896,3.7,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.112400,146.833000,Windermere,George Town
9,Gladstone,Bass,12,174,6.9,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.960100,148.008000,McIntyre,Dorset
10,Hadspen,Lyons,55,1203,4.6,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-41.506400,147.064000,Launceston,Meander Valley
11,Hillwood,Bass,48,458,10.5,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
12,Inveresk,Bass,154,1155,13.3,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
13,Invermay,Bass,133,1165,11.4,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.415700,147.132000,Windermere,Launceston City
14,Karoola,Bass,29,333,8.7,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.253900,147.148000,Windermere,Launceston City
15,Kings Meadows,Bass,140,2119,6.6,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.467700,147.160000,Launceston,Launceston City
16,Lady Barron,Bass,10,125,8.0,Holloway Park Building,"Barr St, LADY BARRON 7255",-40.210500,148.243420,McIntyre,Flinders
17,Launceston,Bass,236,1084,21.8,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-41.436600,147.137000,Launceston,Launceston City
18,Launceston Central,Bass,205,979,20.9,Chalmers Hall,"163 St John St, LAUNCESTON 7250",-41.441000,147.142050,Launceston,Launceston City
19,Lebrina,Bass,20,210,9.5,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.177300,147.228000,Windermere,Launceston City
20,Legana (Bass),Bass,146,1954,7.5,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.363200,147.047000,Rosevears,West Tamar
21,Lilydale,Bass,95,674,14.1,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.252300,147.216000,Windermere,Launceston City
22,Mowbray,Bass,91,889,10.2,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",-41.408140,147.131059,Windermere,Launceston City
23,Newnham,Bass,140,2672,5.2,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.387300,147.128000,Windermere,Launceston City
24,Newstead,Bass,277,2167,12.8,Police Citizens & Youth Club,"148 Abbott St, NEWSTEAD 7250",-41.447200,147.157000,Launceston,Launceston City
25,Norwood,Bass,169,2306,7.3,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.462100,147.174000,Launceston,Launceston City
26,Nunamara,Bass,28,296,9.5,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394000,147.296000,Windermere,Launceston City
27,Pipers River,Bass,19,210,9.0,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.100600,147.091000,Windermere,George Town
28,Prospect,Bass,88,2048,4.3,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-41.472000,147.126000,Rosevears,Launceston City
29,Prospect Vale,Lyons,60,1214,4.9,Residential Retirement Village Clubrooms,"12 Casino Rise, PROSPECT VALE 7250",-41.478200,147.110000,Launceston,Meander Valley
30,Ravenswood,Bass,76,1564,4.9,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City
31,Ringarooma,Bass,10,301,3.3,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.242410,147.735680,McIntyre,Dorset
32,Riverside,Bass,204,2215,9.2,Riverside High School,"354 West Tamar Hwy, RIVERSIDE 7250",-41.409360,147.098610,Rosevears,West Tamar
33,Riverside West,Bass,101,1419,7.1,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.430100,147.106000,Rosevears,West Tamar
34,Rocherlea,Bass,20,701,2.9,Brooks High School,"215 George Town Rd, ROCHERLEA 7248",-41.378531,147.121503,Windermere,Launceston City
35,Scottsdale,Bass,39,1187,3.3,St Barnabas' Church Hall,"55 King St, SCOTTSDALE 7260",-41.162550,147.514910,McIntyre,Dorset
36,South Launceston,Bass,107,704,15.2,Launceston RSL,"313-315 Wellington St, LAUNCESTON 7250",-41.452960,147.143930,Rosevears,Launceston City
37,St Leonards,Bass,63,1224,5.1,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.459700,147.200000,Windermere,Launceston City
38,Summerhill,Bass,189,2976,6.4,Summerdale Community Centre,"82-84 Stanley St, SUMMERHILL 7250",-41.468300,147.129710,Rosevears,Launceston City
39,Trevallyn,Bass,385,1592,24.2,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.438100,147.115000,Rosevears,West Tamar
40,Waverley,Bass,36,838,4.3,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.432100,147.190000,Windermere,Launceston City
41,West Launceston,Bass,365,1663,21.9,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.449200,147.129000,Rosevears,Launceston City
42,Weymouth,Bass,9,166,5.4,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.015300,147.154000,Windermere,George Town
43,Whitemark,Bass,54,335,16.1,Lions Club,"1 James St, WHITEMARK 7255",-40.121400,148.019000,McIntyre,Flinders
44,Winnaleah,Bass,11,181,6.1,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.097900,147.824000,McIntyre,Dorset
45,Youngtown,Bass,61,1491,4.1,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.482300,147.164000,Launceston,Launceston City
