,PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
0,Abbotsham,Braddon,9,164,5.5,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-41.213500,146.174000,Montgomery,Central Coast
1,Acton,Braddon,30,1352,2.2,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.072640,145.892290,Montgomery,Burnie City
2,Boat Harbour,Braddon,32,473,6.8,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.945200,145.636000,Murchison,Waratah-Wynyard
3,Burnie,Braddon,67,1388,4.8,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.053200,145.906000,Murchison,Burnie City
4,Calder,Braddon,2,143,1.4,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.068500,145.631000,Murchison,Waratah-Wynyard
5,Cooee,Braddon,31,913,3.4,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.040760,145.868010,Murchison,Burnie City
6,Currie,Braddon,76,696,10.9,Currie Town Hall,"10 George St, CURRIE 7256",-39.929800,143.855000,Murchison,King Island
7,Devonport Central,Braddon,75,1815,4.1,St Johns Parish Hall,"Fenton St, DEVONPORT 7310",-41.178994,146.358274,Mersey,Devonport City
8,Devonport North West,Braddon,84,2431,3.5,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-41.172800,146.337000,Mersey,Devonport City
9,Devonport South,Braddon,41,1342,3.1,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-41.189300,146.349000,Mersey,Devonport City
10,Devonport West,Braddon,22,1178,1.9,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-41.186400,146.345000,Mersey,Devonport City
11,Don,Braddon,45,1202,3.7,Don Memorial Hall,"17 Forth Rd, DON 7310",-41.182700,146.318000,Mersey,Devonport City
12,East Devonport,Braddon,50,2033,2.5,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-41.177900,146.372000,Mersey,Devonport City
13,Edith Creek,Braddon,2,157,1.3,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-40.970500,145.092000,Murchison,Circular Head
14,Elliott,Braddon,11,386,2.8,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-41.092200,145.782000,Murchison,Waratah-Wynyard
15,Forest,Braddon,3,383,0.8,Forest Primary School,"422 Mengha Rd, FOREST 7330",-40.848600,145.248000,Murchison,Circular Head
16,Forth,Braddon,44,682,6.5,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-41.192921,146.248975,Montgomery,Central Coast
17,Gawler,Braddon,14,466,3.0,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-41.185200,146.160000,Montgomery,Central Coast
18,Grassy,Braddon,14,120,11.7,Grassy Club,"10 Grassy Rd, GRASSY 7256",-40.048400,144.058000,Murchison,King Island
19,Havenview,Braddon,13,440,3.0,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-41.083600,145.911000,Montgomery,Burnie City
20,Heybridge,Braddon,9,266,3.4,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-41.075100,145.986000,Montgomery,Central Coast
21,Highclere,Braddon,3,135,2.2,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-41.190400,145.806000,Montgomery,Burnie City
22,Irishtown,Braddon,1,326,0.3,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-40.913300,145.145000,Murchison,Circular Head
23,Latrobe,Braddon,59,2295,2.6,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-41.239619,146.416013,Mersey,Latrobe
24,Marrawah,Braddon,6,219,2.7,Marrawah Memorial Hall,"844 Comeback Rd, MARRAWAH 7330",-40.922900,144.697000,Murchison,Circular Head
25,Melrose,Braddon,12,227,5.3,Melrose Memorial Hall,"673 Melrose Rd, MELROSE 7310",-41.241700,146.289000,Mersey,Devonport City
