PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
Austins Ferry,Clark,68,1519,4.5,St Virgil's College,"195 Main Rd, AUSTINS FERRY 7011",-42.774487,147.251105,Derwent,Glenorchy City
Battery Point,Clark,197,833,23.6,10th Hobart Scout Hall,"Marieville Esp, SANDY BAY 7004",-42.896023,147.333912,Hobart,Hobart City
Battery Point West,Clark,202,808,25.0,Albuera Street Primary School,"10A Albuera St, BATTERY POINT 7004",-42.891200,147.326000,Hobart,Hobart City
Cascades,Clark,494,1148,43.0,Badminton Association Centre,"101 Cascade Rd, SOUTH HOBART 7004",-42.895023,147.299845,Hobart,Hobart City
Chigwell,Clark,59,1184,5.0,Chigwell Barn,"10 Bucaan St, CHIGWELL 7011",-42.811194,147.241655,Derwent,Glenorchy City
Claremont,Clark,143,2559,5.6,Claremont Girl Guides Hall,"3 Boxhill Rd, CLAREMONT 7011",-42.792307,147.255999,Derwent,Glenorchy City
Collinsvale,Clark,44,347,12.7,Collinsvale Primary School,"508 Collinsvale Rd, COLLINSVALE 7012",-42.836700,147.198000,Elwick,Glenorchy City
Dynnyrne,Clark,279,1057,26.4,Princes Street Primary School,"Randall St, SANDY BAY 7005",-42.898400,147.319000,Nelson,Hobart City
Fern Tree,Clark,260,541,48.1,Fern Tree Fire Station,"7 Summerleas Rd, FERN TREE 7054",-42.923248,147.260441,Hobart,Hobart City
Glenorchy,Clark,200,2769,7.2,Glenorchy Primary School,"Kensington St, GLENORCHY 7010",-42.832391,147.266343,Elwick,Glenorchy City
Glenorchy Central,Clark,124,1351,9.2,St Matthews Church,"Cnr Tolosa St and Main Rd, GLENORCHY 7010",-42.833066,147.274292,Elwick,Glenorchy City
Goodwood,Clark,29,510,5.7,Goodwood Primary School,"Elmsleigh Rd, MOONAH 7009",-42.831689,147.293744,Elwick,Glenorchy City
