,PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
0,Adventure Bay,Franklin,31.0,180.0,17.2,Adventure Bay Hall,"Adventure Bay Rd, ADVENTURE BAY 7150",-43.345800,147.321000,Huon,Kingborough
1,Alonnah,Franklin,56.0,278.0,20.1,Bruny Island District School,"15 School Rd, ALONNAH 7150",-43.318070,147.244455,Huon,Kingborough
2,Barnes Bay,Franklin,16.0,76.0,21.1,Barnes Bay CWA Rooms,"678 Bruny Island Main Rd, NORTH BRUNY 7150",-43.112603,147.373414,Huon,Kingborough
3,Bellerive,Franklin,294.0,1794.0,16.4,Clarence Police & Community Youth Club Inc,"10 Scott St, BELLERIVE 7018",-42.876060,147.370954,Pembroke,Clarence City
4,Blackmans Bay,Franklin,478.0,2705.0,17.7,Blackmans Bay Primary School,"177 Roslyn Ave, BLACKMANS BAY 7052",-42.996938,147.321219,Nelson,Kingborough
5,Cambridge,Franklin,115.0,1483.0,7.8,Cambridge Primary School,"976 Cambridge Rd, CAMBRIDGE 7170",-42.836200,147.442000,Rumney,Clarence City
6,Clarence,Franklin,255.0,1897.0,13.4,Clarence High School,"25 Wentworth St, BELLERIVE 7018",-42.878400,147.389000,Pembroke,Clarence City
7,Clarendon Vale,Franklin,35.0,787.0,4.4,Clarendon Vale Neighbourhood Centre,"65 Mockridge Rd, CLARENDON VALE 7019",-42.887539,147.443086,Rumney,Clarence City
8,Cradoc,Franklin,114.0,479.0,23.8,Cradoc Park,"8243 Channel Hwy, CRADOC 7109",-43.106400,147.034000,Huon,Huon Valley
9,Cygnet,Franklin,652.0,1820.0,35.8,Carmel Hall,"25 Mary St, CYGNET 7112",-43.162624,147.076341,Huon,Huon Valley
10,Dover,Franklin,89.0,633.0,14.1,Dover District High School,"6940 Huon Hwy, DOVER 7117",-43.310500,147.013000,Huon,Huon Valley
11,Franklin,Franklin,170.0,644.0,26.4,Franklin Primary School,"10 New Rd, FRANKLIN 7113",-43.085654,147.012018,Huon,Huon Valley
12,Geeveston,Franklin,138.0,1075.0,12.8,Geeveston Primary School,"63 Arve Rd, GEEVESTON 7116",-43.162500,146.922000,Huon,Huon Valley
13,Geilston Bay,Franklin,183.0,1972.0,9.3,Lindisfarne North Primary School,"271 East Derwent Hwy, GEILSTON BAY 7015",-42.838300,147.349000,Pembroke,Clarence City
14,Glen Huon,Franklin,46.0,315.0,14.6,Glen Huon Primary School,"801 Glen Huon Rd, GLEN HUON 7109",-43.027800,146.962000,Huon,Huon Valley
15,Howden,Franklin,107.0,438.0,24.4,Howden Fire Station,"392 Howden Rd, HOWDEN 7054",-43.019128,147.291545,Huon,Kingborough
16,Howrah,Franklin,227.0,2460.0,9.2,"Howrah Scout Hall, Howrah Primary School","7 Howrah Rd, HOWRAH 7018",-42.881900,147.404000,Pembroke,Clarence City
17,Huonville,Franklin,203.0,1489.0,13.6,Huonville Primary School,"74 Wilmot Rd, HUONVILLE 7109",-43.024240,147.044783,Huon,Huon Valley
18,Judbury,Franklin,48.0,252.0,19.0,Judbury Hall,"1273 Glen Huon Rd, JUDBURY 7109",-42.998200,146.928300,Huon,Huon Valley
19,Kettering,Franklin,156.0,544.0,28.7,Kettering Community Centre,"2963 Channel Hwy, KETTERING 7155",-43.125700,147.247000,Huon,Kingborough
20,Kingston (Franklin),Franklin,363.0,1987.0,18.3,Kingborough Council,"15 Channel Hwy, KINGSTON 7050",-42.975418,147.311650,Nelson,Kingborough
21,Kingston Beach,Franklin,322.0,1728.0,18.6,Kingston Beach Hall,"20 Beach Rd, KINGSTON BEACH 7050",-42.981534,147.323507,Nelson,Kingborough
22,Lauderdale,Franklin,311.0,2434.0,12.8,Lauderdale Community Hall,"528A South Arm Rd, LAUDERDALE 7021",-42.913663,147.486270,Rumney,Clarence City
23,Lindisfarne,Franklin,179.0,1453.0,12.3,Lindisfarne Primary School,"17 Loatta Rd, LINDISFARNE 7015",-42.851900,147.363000,Pembroke,Clarence City
24,Lindisfarne Village,Franklin,233.0,1880.0,12.4,St Aidans Church Hall,"54 Lincoln St, LINDISFARNE 7015",-42.846661,147.355740,Pembroke,Clarence City
25,Maranoa Heights,Franklin,167.0,1701.0,9.8,Southern Christian College,"150 Redwood Rd, KINGSTON 7050",-42.989600,147.309000,Nelson,Kingborough
26,Margate,Franklin,338.0,2012.0,16.8,Margate Hall,"1744 Channel Hwy, MARGATE 7054",-43.029000,147.263000,Huon,Kingborough
27,Middleton,Franklin,66.0,277.0,23.8,South Channel Community Centre,"25 McDowall St, MIDDLETON 7163",-43.231100,147.256000,Huon,Kingborough
28,Montagu Bay,Franklin,185.0,1229.0,15.1,Montagu Bay Primary School,"10 Conara Rd, MONTAGU BAY 7018",-42.864600,147.353000,Pembroke,Clarence City
29,Mornington,Franklin,71.0,767.0,9.3,Citywide Baptist Church,"400 Cambridge Rd, MORNINGTON 7018",-42.856351,147.401753,Pembroke,Clarence City
30,Mountain River,Franklin,99.0,584.0,17.0,Mountain River Memorial Hall,"263 Mountain River Rd, MOUNTAIN RIVER 7109",-42.961400,147.109000,Huon,Huon Valley
31,Old Beach,Lyons,76.0,1482.0,5.1,Old Beach Community Centre,"86 Jetty Rd, OLD BEACH 7017",-42.774270,147.265760,Rumney,Brighton
32,Ranelagh,Franklin,150.0,1032.0,14.5,Ranelagh Memorial Hall,"40 Marguerite St, RANELAGH 7109",-43.008600,147.039000,Huon,Huon Valley
33,Richmond,Lyons,95.0,928.0,10.2,Richmond Primary School,"Commercial Rd, RICHMOND 7025",-42.739282,147.437988,Rumney,Clarence City
34,Risdon Vale,Franklin,61.0,1156.0,5.3,Risdon Vale Primary School,"2 Heather Rd, RISDON VALE 7016",-42.813100,147.354000,Rumney,Clarence City
35,Rokeby,Franklin,68.0,1350.0,5.0,Emmanuel Christian School,"1 Chipmans Rd, ROKEBY 7019",-42.900910,147.438998,Rumney,Clarence City
36,Sandfly (Franklin),Franklin,193.0,871.0,22.2,Sandfly Hall,"811 Sandfly Rd, SANDFLY 7150",-42.985000,147.196000,Huon,Kingborough
37,Sandford,Franklin,274.0,1331.0,20.6,Sandford Hall,"949 South Arm Rd, SANDFORD 7020",-42.940200,147.495000,Rumney,Clarence City
38,Seven Mile Beach,Franklin,94.0,796.0,11.8,Ramada Resort By Wyndham Seven Mile Beach,"78 Surf Rd, SEVEN MILE BEACH 7170",-42.852600,147.511000,Rumney,Clarence City
39,Snug,Franklin,262.0,1183.0,22.1,Snug Primary School,"2208 Channel Hwy, SNUG 7054",-43.066400,147.255000,Huon,Kingborough
