PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
Avoca,Lyons,6,177,3.4,Avoca Primary School,"26-30 St Pauls St, AVOCA 7213",-41.782233,147.726685,McIntyre,Northern Midlands
Bagdad,Lyons,20,701,2.9,Bagdad Primary School,"46 School Rd, BAGDAD 7030",-42.624900,147.223000,Prosser,Southern Midlands
Beaconsfield,Bass,54,1024,5.3,Beaconsfield Senior Citizens' Hall,"121 Weld St, BEACONSFIELD 7270",-41.202400,146.819000,Rosevears,West Tamar
Beauty Point,Bass,44,627,7.0,Beauty Point Uniting Church Hall,"Beatty St, BEAUTY POINT 7270",-41.148983,146.817506,Rosevears,West Tamar
Bicheno,Lyons,73,671,10.9,Bicheno Beachfront,"Sinclair St, BICHENO 7215",-41.874363,148.299881,Prosser,Glamorgan-Spring Bay
Bothwell,Lyons,5,360,1.4,Bothwell Council Chambers,"19 Alexander St, BOTHWELL 7030",-42.381900,147.006000,Derwent,Central Highlands
Bracknell,Lyons,23,440,5.2,Bracknell War Memorial Hall,"Louisa St, BRACKNELL 7302",-41.651200,146.943000,McIntyre,Meander Valley
Bridgewater,Lyons,33,1874,1.8,Brighton Civic Centre,"25 Green Point Rd, BRIDGEWATER 7030",-42.739164,147.243512,Derwent,Brighton
Brighton,Lyons,56,2078,2.7,Brighton Primary School,"27 Downie St, BRIGHTON 7030",-42.699100,147.258000,Derwent,Brighton
Broadmarsh,Lyons,10,221,4.5,Broadmarsh Hall,"1218 Elderslie Rd, BROADMARSH 7030",-42.656700,147.126000,Prosser,Southern Midlands
Campania,Lyons,15,489,3.1,Campania Hall,"45 Reeve St, CAMPANIA 7026",-42.667109,147.421053,Prosser,Southern Midlands
Campbell Town,Lyons,23,670,3.4,Campbell Town Town Hall,"75 High St, CAMPBELL TOWN 7210",-41.926995,147.494438,Prosser,Northern Midlands
Carrick,Lyons,27,610,4.4,Carrick Public Hall,"29 Meander Valley Rd, CARRICK 7291",-41.530917,147.011259,McIntyre,Meander Valley
Chudleigh,Lyons,31,267,11.6,Chudleigh Memorial Hall,"54 Sorell St, CHUDLEIGH 7304",-41.557239,146.481292,McIntyre,Meander Valley
Claude Road,Lyons,56,383,14.6,Claude Road Memorial Hall,"787 Claude Rd, CLAUDE ROAD 7306",-41.434300,146.275000,Montgomery,Kentish
Colebrook,Lyons,9,190,4.7,Colebrook Fire Station,"Colebrook Rd, COLEBROOK 7027",-42.531409,147.361399,Prosser,Southern Midlands
Coles Bay,Lyons,30,194,15.5,Coles Bay Community Hall,"60 Harold St, COLES BAY 7215",-42.124900,148.286000,Prosser,Glamorgan-Spring Bay
Copping,Lyons,46,266,17.3,Copping Hall,"69 Allanby St, COPPING 7174",-42.819982,147.802747,Prosser,Sorell
Cressy,Lyons,8,636,1.3,Cressy Community Hall,"67 Main St, CRESSY 7302",-41.685476,147.080745,McIntyre,Northern Midlands
