PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Blessington Upper,6,57,10.5,Bass,Windermere,Launceston City,"3132 Blessington Rd, BLESSINGTON 7212",North Esk Memorial Hall,-41.48243,147.50494
Branxholm,13,180,7.2,Bass,McIntyre,Dorset,"Stoke St, BRANXHOLM 7261",Branxholm Community Hall,-41.165606,147.73648
Bridport,55,1077,5.1,Bass,McIntyre,Dorset,"Main St, BRIDPORT 7262",Bridport Hall,-41.0026,147.395
Derby,28,105,26.7,Bass,McIntyre,Dorset,"1 Krushka St, DERBY 7264",Derby Town Hall,-41.14933,147.80236000000002
Dilston,96,675,14.2,Bass,Windermere,Launceston City,"308 John Lees Dr, DILSTON 7252",Dilston War Memorial Hall,-41.3368,147.082
East Launceston,219,1242,17.6,Bass,Launceston,Launceston City,"18 Mary St, EAST LAUNCESTON 7250",East Launceston Primary School,-41.44144,147.151372
Five Ways,145,1130,12.8,Bass,Launceston,Launceston City,"6 Hobart Rd, SOUTH LAUNCESTON 7249",St Mark's Church Hall,-41.45908,147.15402
George Town,102,1705,6.0,Bass,Windermere,George Town,"29-67 Macquarie St, GEORGE TOWN 7253",George Town Memorial Hall,-41.106907,146.821868
George Town South,33,896,3.7,Bass,Windermere,George Town,"Franklin St, GEORGE TOWN 7253",South George Town Primary School,-41.1124,146.833
Gladstone,12,174,6.9,Bass,McIntyre,Dorset,"1 Carr St, GLADSTONE 7264",Gladstone Hall,-40.9601,148.008
Hadspen,55,1203,4.6,Lyons,Launceston,Meander Valley,"47 Main St, HADSPEN 7290",Hadspen Uniting Church Centre,-41.5064,147.064
Hillwood,48,458,10.5,Bass,Windermere,George Town,"280 Hillwood Jetty Rd, HILLWOOD 7252",Hillwood Memorial Hall,-41.236252,146.974945
Inveresk,154,1155,13.3,Bass,Windermere,Launceston City,"35-43 Mayne St, INVERMAY 7248",Invermay Primary School,-41.421676,147.131233
Invermay,133,1165,11.4,Bass,Windermere,Launceston City,"247 Invermay Rd, INVERMAY 7248",St Finn Barr's School,-41.4157,147.132
Karoola,29,333,8.7,Bass,Windermere,Launceston City,"1126 Pipers River Rd, KAROOLA 7267",Karoola Hall,-41.2539,147.148
Kings Meadows,140,2119,6.6,Bass,Launceston,Launceston City,"8A Blaydon St, KINGS MEADOWS 7249",YMCA Centre,-41.4677,147.16
Lady Barron,10,125,8.0,Bass,McIntyre,Flinders,"Barr St, LADY BARRON 7255",Holloway Park Building,-40.2105,148.24342
Launceston,236,1084,21.8,Bass,Launceston,Launceston City,"36 Paterson St, LAUNCESTON 7250",Pilgrim Hall,-41.4366,147.137
Launceston Central,205,979,20.9,Bass,Launceston,Launceston City,"163 St John St, LAUNCESTON 7250",Chalmers Hall,-41.441,147.14205
Lebrina,20,210,9.5,Bass,Windermere,Launceston City,"905 Golconda Rd, LEBRINA 7254",Lebrina Memorial Hall,-41.1773,147.228
Legana (Bass),146,1954,7.5,Bass,Rosevears,West Tamar,"43 Fulton St, LEGANA 7277",Legana Memorial Hall,-41.3632,147.047
Lilydale,95,674,14.1,Bass,Windermere,Launceston City,"1949 Main Rd, LILYDALE 7268",Lilydale Memorial Hall,-41.2523,147.216
Mowbray,91,889,10.2,Bass,Windermere,Launceston City,"36 Button St, MOWBRAY 7248",Launceston Church Grammar School,-41.40814,147.13105900000002
Newnham,140,2672,5.2,Bass,Windermere,Launceston City,"128-132 George Town Rd, NEWNHAM 7248",Launceston North Uniting Church,-41.3873,147.128
Newstead,277,2167,12.8,Bass,Launceston,Launceston City,"148 Abbott St, NEWSTEAD 7250",Police Citizens & Youth Club,-41.4472,147.157
Norwood,169,2306,7.3,Bass,Launceston,Launceston City,"103 Norwood Ave, NORWOOD 7250",Norwood Primary School,-41.4621,147.174
Nunamara,28,296,9.5,Bass,Windermere,Launceston City,"39461 Tasman Hwy, NUNAMARA 7259",Nunamara Memorial Hall,-41.394,147.296
Pipers River,19,210,9.0,Bass,Windermere,George Town,"76 School Rd, PIPERS RIVER 7252",Pipers River Fire Station,-41.1006,147.091
Prospect,88,2048,4.3,Bass,Rosevears,Launceston City,"282 Westbury Rd, PROSPECT 7250",St Patrick's College,-41.472,147.126
Prospect Vale,60,1214,4.9,Lyons,Launceston,Meander Valley,"12 Casino Rise, PROSPECT VALE 7250",Residential Retirement Village Clubrooms,-41.4782,147.11
Ravenswood,76,1564,4.9,Bass,Windermere,Launceston City,"27 Prossers Forest Rd, RAVENSWOOD 7250",Ravenswood Primary School,-41.415955,147.179654
Ringarooma,10,301,3.3,Bass,McIntyre,Dorset,"4 Charles St, RINGAROOMA 7263",Ringarooma Hall,-41.24241,147.73568
Riverside,204,2215,9.2,Bass,Rosevears,West Tamar,"354 West Tamar Hwy, RIVERSIDE 7250",Riverside High School,-41.40936,147.09861
Riverside West,101,1419,7.1,Bass,Rosevears,West Tamar,"34 Pitt Ave, TREVALLYN 7250",Trevallyn Life Church,-41.4301,147.106
Rocherlea,20,701,2.9,Bass,Windermere,Launceston City,"215 George Town Rd, ROCHERLEA 7248",Brooks High School,-41.378531,147.121503
Scottsdale,39,1187,3.3,Bass,McIntyre,Dorset,"55 King St, SCOTTSDALE 7260",St Barnabas' Church Hall,-41.16255,147.51491000000001
South Launceston,107,704,15.2,Bass,Rosevears,Launceston City,"313-315 Wellington St, LAUNCESTON 7250",Launceston RSL,-41.45296,147.14393
St Leonards,63,1224,5.1,Bass,Windermere,Launceston City,"330-342 St Leonards Rd, ST LEONARDS 7250",St Leonards Primary School,-41.4597,147.2
Summerhill,189,2976,6.4,Bass,Rosevears,Launceston City,"82-84 Stanley St, SUMMERHILL 7250",Summerdale Community Centre,-41.4683,147.12971000000002
Trevallyn,385,1592,24.2,Bass,Rosevears,West Tamar,"55 Gorge Rd, TREVALLYN 7250",Trevallyn Primary School,-41.4381,147.115
Waverley,36,838,4.3,Bass,Windermere,Launceston City,"6 Naroo St, WAVERLEY 7250",Waverley School Hall,-41.4321,147.19
West Launceston,365,1663,21.9,Bass,Rosevears,Launceston City,"24-38 Basin Rd, WEST LAUNCESTON 7250",West Launceston Primary School,-41.4492,147.129
Weymouth,9,166,5.4,Bass,Windermere,George Town,"18 Major St, WEYMOUTH 7252",Weymouth Hall,-41.0153,147.154
Whitemark,54,335,16.1,Bass,McIntyre,Flinders,"1 James St, WHITEMARK 7255",Lions Club,-40.1214,148.019
Winnaleah,11,181,6.1,Bass,McIntyre,Dorset,"20 Main St, WINNALEAH 7265",Winnaleah Memorial Hall,-41.0979,147.824
Youngtown,61,1491,4.1,Bass,Launceston,Launceston City,"Victoria St, YOUNGTOWN 7249",Youngtown Primary School,-41.4823,147.164
