PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil,GreensVotes_2014,TotalVotes_2014,GreensPercentage_2014,PremisesNm_2014,PremisesAddress_2014,SwingPercentage
Blessington Upper,Bass,6,57,10.5,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-41.48243,147.50494,Windermere,Launceston City,11,84,13.1,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-2.6
Branxholm,Bass,13,180,7.2,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset,21,184,11.4,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-4.2
Bridport,Bass,55,1077,5.1,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset,74,1085,6.8,Bridport Hall,"Main St, BRIDPORT 7262",-1.7
Derby,Bass,28,105,26.7,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236,McIntyre,Dorset,16,101,15.8,Derby Town Hall,"1 Krushka St, DERBY 7264",10.9
Dilston,Bass,96,675,14.2,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City,119,633,18.8,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-4.6
East Launceston,Bass,219,1242,17.6,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City,241,954,25.3,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-7.7
Five Ways,Bass,145,1130,12.8,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.45908,147.15402,Launceston,Launceston City,192,1306,14.7,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-1.9
George Town,Bass,102,1705,6.0,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town,139,1667,8.3,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-2.3
George Town South,Bass,33,896,3.7,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town,58,892,6.5,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-2.8
Gladstone,Bass,12,174,6.9,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset,17,152,11.2,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-4.3
Hadspen,Lyons,55,1203,4.6,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-41.5064,147.064,Launceston,Meander Valley,66,1088,6.1,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-1.5
Hillwood,Bass,48,458,10.5,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town,64,375,17.1,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-6.6
Inveresk,Bass,154,1155,13.3,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City,144,949,15.2,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-1.9
Invermay,Bass,133,1165,11.4,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.4157,147.132,Windermere,Launceston City,203,1368,14.8,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-3.4
Karoola,Bass,29,333,8.7,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City,39,295,13.2,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-4.5
Kings Meadows,Bass,140,2119,6.6,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City,186,2062,9.0,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-2.4
