PollingPlaceNm,DivisionNm,GreensVotes_2024,TotalVotes_2024,GreensPercentage_2024,SwingPercentage,PremisesNm_2024,PremisesAddress_2024,Latitude,Longitude,LegCo,LocalCouncil
Beaconsfield,Bass,90,990,9.1,3.0,Beaconsfield Senior Citizens Hall,"121 Weld St, BEACONSFIELD 7270",-41.2024,146.819,Rosevears,West Tamar
Beauty Point,Bass,42,592,7.1,0.4,Beauty Point Uniting Church Hall,"Beatty St, BEAUTY POINT 7270",-41.148983,146.817506,Rosevears,West Tamar
Branxholm,Bass,31,200,15.5,3.2,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset
Bridport,Bass,51,863,5.9,2.1,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset
Dilston,Bass,89,675,13.2,0.6,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City
East Launceston,Bass,253,1372,18.4,1.1,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City
Exeter,Bass,149,1201,12.4,3.4,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-41.2996,146.957,Rosevears,West Tamar
Five Ways,Bass,148,1031,14.4,4.5,St Marks Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.45908,147.15402,Launceston,Launceston City
George Town,Bass,84,962,8.7,2.7,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,43,641,6.7,2.2,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town
Gladstone,Bass,12,153,7.8,2.5,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset
Glengarry,Bass,24,297,8.1,-0.8,Glengarry Catholic Church,"33 Glengarry Rd, GLENGARRY 7275",-41.335033,146.870343,Rosevears,West Tamar
Gravelly Beach,Bass,93,613,15.2,0.2,Edinburgh Park Equestrian Centre,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",-41.2939,146.973,Rosevears,West Tamar
Hillwood,Bass,48,395,12.2,2.9,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Inveresk,Bass,177,1297,13.6,-1.4,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
Invermay,Bass,115,508,22.6,12.4,The Tramsheds Function Centre,"4 Invermay Rd, INVERMAY 7248",-41.428417,147.138618,Windermere,Launceston City
Karoola,Bass,36,340,10.6,5.5,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City
Kelso,Bass,45,354,12.7,2.3,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-41.1037,146.794,Rosevears,West Tamar
Kings Meadows,Bass,79,559,14.1,6.4,Punchbowl Primary School,"146 Punchbowl Rd, NEWSTEAD 7250",-41.453074,147.164654,Launceston,Launceston City
Lady Barron,Bass,8,128,6.2,-2.3,Lady Barron Memorial Hall,"Main St, LADY BARRON 7255",-40.211081,148.240354,McIntyre,Flinders
Launceston,Bass,200,838,23.9,1.7,Launceston Voting Centre,"182-192 Cimitiere St, LAUNCESTON 7250",-41.434914,147.136039,Launceston,Launceston City
Launceston Central,Bass,230,920,25.0,2.1,Chalmers Hall,"163 St John St, LAUNCESTON 7250",-41.441,147.14205,Launceston,Launceston City
Lebrina,Bass,18,207,8.7,0.0,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.1773,147.228,Windermere,Launceston City
Legana,Bass,240,2584,9.3,1.5,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar
Lilydale,Bass,122,660,18.5,1.8,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.2523,147.216,Windermere,Launceston City
Mowbray,Bass,133,872,15.3,5.1,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",-41.40814,147.131059,Windermere,Launceston City
Newnham,Bass,254,2400,10.6,5.7,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.3873,147.128,Windermere,Launceston City
Newstead,Bass,193,1529,12.6,0.7,Police Citizens & Youth Club,"148 Abbott St, NEWSTEAD 7250",-41.4472,147.157,Launceston,Launceston City
Norwood,Bass,215,2321,9.3,2.1,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.4621,147.174,Launceston,Launceston City
Nunamara,Bass,44,281,15.7,6.6,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394,147.296,Windermere,Launceston City
Pipers River,Bass,25,204,12.3,4.6,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.1006,147.091,Windermere,George Town
Prospect,Bass,38,294,12.9,6.6,Prospect High School,"30-32 Ralph St, PROSPECT 7250",-41.475517,147.131061,Rosevears,Launceston City
Ravenswood,Bass,114,1400,8.1,3.9,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City
Ringarooma,Bass,18,246,7.3,1.5,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.24241,147.73568,McIntyre,Dorset
